product_id;brand;memory;smartphone_price;smartphone_promo_price;link;model;model_spec
3300042;Samsung;128 GB;249, €;219, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=3300042&productName=Samsung Galaxy A14 5G#/category=Smartphones/pageNo=3;Galaxy A14;Galaxy A14 5G
2128880;Samsung;32 GB;169, €;149, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=2128880&productName=Samsung Galaxy A04s 32GB 4G Black#/category=Smartphones/pageNo=4;Galaxy A04s;Galaxy A04s 4G
2126491;Samsung;512 GB;1.919, €;1.619, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=2126491&productName=Samsung Galaxy Z Fold4 5G#/category=Smartphones/pageNo=2;Galaxy Z;Galaxy Z Fold4 5G
3300178;Samsung;128 GB;508, €;379, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=3300178&productName=Samsung Galaxy A34 5G 128GB + Galaxy Watch4 40mm LTE#/category=Smartphones/pageNo=2;Galaxy A34;Galaxy A34 5G + Galaxy Watch4 40mm LTE
2126483;Samsung;128 GB;1.099, €;899, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=2126483&productName=Samsung Galaxy Z FLip4 5G#/category=Smartphones/pageNo=2;Galaxy Z;Galaxy Z Flip4 5G
2125086;Samsung;128 GB;219, €;199, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=2125086&productName=Samsung Galaxy A13 5G#/category=Smartphones/pageNo=3;Galaxy A13;Galaxy A13 5G
2126491;Samsung;256 GB;1.799, €;1.499, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=2126491&productName=Samsung Galaxy Z Fold4 5G#/category=Smartphones/pageNo=2;Galaxy Z;Galaxy Z Fold4 5G
2131682;Samsung;128 GB;949, €;849, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=2131682&productName=Samsung Galaxy S23 5G#/category=Smartphones/pageNo=1;Galaxy S23;Galaxy S23 5G
2126483;Samsung;256 GB;1.159, €;959, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=2126483&productName=Samsung Galaxy Z FLip4 5G#/category=Smartphones/pageNo=2;Galaxy Z;Galaxy Z Flip4
3300260;Samsung;512 GB;2.019, €;1.719, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=3300260&productName=Samsung Galaxy Z Fold5 512GB#/category=Smartphones/pageNo=2;Galaxy Z;Galaxy Z Fold5 5G
3300257;Samsung;256 GB;1.899, €;1.599, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=3300257&productName=Samsung Galaxy Z Fold5 256GB#/category=Smartphones/pageNo=2;Galaxy Z;Galaxy Z Fold5 5G
3300253;Samsung;512 GB;1.319, €;1.119, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=3300253&productName=Samsung Galaxy Z Flip5 512GB#/category=Smartphones/pageNo=2;Galaxy Z;Galaxy Z Flip5 5G
3300249;Samsung;256 GB;1.199, €;999, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=3300249&productName=Samsung Galaxy Z Flip5 256GB#/category=Smartphones/pageNo=2;Galaxy Z;Galaxy Z Flip5 5G
3300387;Samsung;128 GB;708, €;449, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=3300387&productName=Samsung Galaxy A54 + Galaxy Watch4 pack#/category=Smartphones/pageNo=1;Galaxy A54;Galaxy A54 + Galaxy Watch4 pack
2131687;Samsung;256 GB;1.199, €;1.049, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=2131687&productName=Samsung Galaxy S23+ 5G#/category=Smartphones/pageNo=1;Galaxy S23+;Galaxy S23+ 5G
